ID,CREDITSTATUS,AGE,GENDER,CAMPAIGN,OWNCAR,OWNPROPERTY,CHILDRENCOUNT,FAMSIZE,INCOMETOTAL,INCOMETYPE,EDUCATIONLEVEL,MARITALSTATUS,HOUSINGTYPE,MOBILE,EMAIL,OCCUPATION
5009204,0,44,F,1,N,N,0,2,292500,State servant,Secondary / secondary special,Married,House / apartment,Y,N,Accountants
5009209,0,28,F,0,N,N,0,2,292500,State servant,Secondary / secondary special,Married,House / apartment,Y,N,Accountants
5009216,C,47,F,1,N,N,0,2,270000,Working,Higher education,Married,House / apartment,Y,N,Accountants
5009217,X,90,F,15,N,N,0,2,270000,Working,Higher education,Married,House / apartment,Y,N,Accountants
5009226,C,27,F,3,Y,N,0,2,225000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Managers
5009234,X,36,F,0,Y,N,0,2,225000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Managers
5009236,0,34,F,1,Y,N,0,2,225000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Managers
5009249,C,29,M,0,Y,N,1,3,135000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Drivers
5009260,C,21,F,7,N,N,0,2,202500,State servant,Higher education,Married,With parents,Y,N,Core staff
5009263,C,31,F,1,N,N,0,2,202500,State servant,Higher education,Married,With parents,Y,N,Core staff
5009268,C,47,M,1,Y,N,0,2,337500,State servant,Higher education,Married,With parents,Y,N,Managers
5009272,X,34,M,2,N,N,0,2,180000,Commercial associate,Secondary / secondary special,Married,Municipal apartment,Y,N,Laborers
5009280,C,57,F,8,N,N,0,2,130500,Working,Secondary / secondary special,Civil marriage,House / apartment,Y,N,Cleaning staff
5009290,C,51,F,0,N,N,0,2,130500,Working,Secondary / secondary special,Civil marriage,House / apartment,Y,N,Cleaning staff
5009297,1,49,F,2,N,N,0,1,193500,Working,Secondary / secondary special,Single / not married,Municipal apartment,Y,N,Laborers
5009300,X,28,F,1,N,N,0,1,193500,Working,Secondary / secondary special,Single / not married,Municipal apartment,Y,N,Laborers
5009302,C,60,F,1,N,N,0,1,112500,Pensioner,Secondary / secondary special,Widow,House / apartment,Y,N,
5009319,C,46,F,0,Y,N,0,2,135000,Pensioner,Secondary / secondary special,Married,House / apartment,Y,Y,
5009343,C,35,M,0,Y,N,0,2,252000,Working,Secondary / secondary special,Married,House / apartment,Y,N,High skill tech staff
5009344,0,32,M,3,Y,N,0,2,252000,Working,Secondary / secondary special,Married,House / apartment,Y,N,High skill tech staff
5009345,C,24,M,3,Y,N,0,2,252000,Working,Secondary / secondary special,Married,House / apartment,Y,N,High skill tech staff
5009349,X,40,M,2,N,N,0,2,180000,Commercial associate,Lower secondary,Married,House / apartment,Y,N,Drivers
5009363,C,49,M,1,Y,N,0,2,180000,Commercial associate,Higher education,Civil marriage,House / apartment,Y,N,Drivers
5009365,C,72,M,21,Y,N,0,2,180000,Commercial associate,Higher education,Civil marriage,House / apartment,Y,N,Drivers
5009378,C,52,F,0,N,N,2,4,225000,Working,Higher education,Married,House / apartment,Y,Y,Core staff
5009381,C,34,M,13,Y,N,1,3,135000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Sales staff
5009383,C,36,F,4,N,N,0,2,450000,State servant,Higher education,Married,House / apartment,Y,N,Managers
5009399,C,45,F,1,N,N,1,3,76500,Working,Higher education,Civil marriage,House / apartment,Y,N,Accountants
5009401,C,41,F,2,N,N,1,3,76500,Working,Higher education,Civil marriage,House / apartment,Y,N,Accountants
5009403,C,42,M,0,N,N,0,2,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,Y,N,Security staff
5009404,0,44,F,4,N,N,2,4,67500,Commercial associate,Higher education,Married,House / apartment,Y,N,Core staff
5009405,X,31,M,3,N,N,0,2,234000,Working,Incomplete higher,Married,House / apartment,Y,N,Drivers
5009418,0,58,F,3,N,N,0,1,90000,Working,Secondary / secondary special,Single / not married,House / apartment,Y,N,Core staff
5009425,C,27,M,1,N,N,0,1,108000,Working,Secondary / secondary special,Single / not married,Co-op apartment,Y,N,Cooking staff
5009426,0,43,M,1,N,N,0,2,99000,Pensioner,Secondary / secondary special,Married,House / apartment,Y,N,
5009431,C,32,M,0,Y,N,0,2,360000,State servant,Higher education,Married,Municipal apartment,Y,N,Drivers
5009441,C,31,F,44,N,N,0,2,90000,State servant,Secondary / secondary special,Married,House / apartment,Y,N,
5009443,0,25,F,2,N,N,0,2,90000,State servant,Secondary / secondary special,Married,House / apartment,Y,N,
5009444,C,31,F,1,N,N,0,2,90000,State servant,Secondary / secondary special,Married,House / apartment,Y,N,
5009456,C,31,F,6,N,N,0,2,202500,State servant,Higher education,Married,House / apartment,Y,N,Laborers
5009457,C,39,F,5,N,N,0,2,202500,State servant,Higher education,Married,House / apartment,Y,N,Laborers
5009465,C,46,F,0,N,N,0,2,157500,Working,Secondary / secondary special,Married,House / apartment,Y,N,
5009481,0,55,F,3,N,N,0,2,180000,Commercial associate,Higher education,Married,House / apartment,Y,N,
5009487,C,50,F,3,N,N,2,4,135000,Working,Secondary / secondary special,Married,House / apartment,Y,N,
5009488,C,26,F,5,N,N,2,4,135000,Working,Secondary / secondary special,Married,House / apartment,Y,N,
5009489,C,36,F,1,N,N,2,4,135000,Working,Secondary / secondary special,Married,House / apartment,Y,N,
5009490,X,43,M,1,Y,N,0,2,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Y,N,Laborers
5009493,C,22,M,1,Y,N,0,2,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,Y,Y,Drivers
5009503,X,29,M,0,Y,N,0,2,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,Y,Y,Drivers
5009508,C,44,F,1,N,N,0,2,202500,Working,Higher education,Married,House / apartment,Y,N,Core staff
5009517,C,31,F,1,N,N,0,2,157500,Working,Incomplete higher,Married,House / apartment,Y,N,Core staff
5009524,3,52,M,1,Y,N,1,2,112500,Working,Secondary / secondary special,Separated,Co-op apartment,Y,N,Laborers
5009530,X,38,F,2,Y,N,0,2,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,Y,N,
5009534,C,45,F,2,Y,N,0,2,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,Y,N,
5009535,C,57,F,1,Y,N,0,2,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,Y,N,
5009536,C,44,M,4,Y,N,0,2,216000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Laborers
5009540,C,30,F,4,Y,N,0,2,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,Y,N,Sales staff
5009554,C,20,F,1,N,N,0,2,198000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Y,N,Laborers
5009555,0,48,F,1,N,N,0,2,198000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Y,N,Laborers
5009559,C,32,F,1,N,N,0,2,198000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Y,N,Laborers
5009570,X,51,M,3,Y,N,0,2,180000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Laborers
5009571,C,51,M,0,Y,N,0,2,180000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Laborers
5009574,X,35,M,14,Y,N,0,2,180000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Laborers
5009576,X,51,F,1,Y,N,0,2,315000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Accountants
5009593,C,32,F,3,Y,N,0,2,144000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Core staff
5009594,0,35,F,3,Y,N,0,2,144000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Core staff
5009599,C,53,F,48,Y,N,0,2,144000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Core staff
5009600,C,39,F,1,Y,N,0,2,144000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Core staff
5009603,0,21,F,45,N,N,1,3,112500,Working,Secondary / secondary special,Married,House / apartment,Y,N,Sales staff
5009607,C,27,F,1,N,N,2,4,144000,Working,Secondary / secondary special,Married,House / apartment,Y,N,High skill tech staff
5009608,X,38,F,2,N,N,2,4,144000,Working,Secondary / secondary special,Married,House / apartment,Y,N,High skill tech staff
5009610,0,51,F,0,N,N,2,4,144000,Working,Secondary / secondary special,Married,House / apartment,Y,N,High skill tech staff
5009611,C,60,F,9,N,N,2,4,144000,Working,Secondary / secondary special,Married,House / apartment,Y,N,High skill tech staff
5009612,X,24,F,1,N,N,2,4,144000,Working,Secondary / secondary special,Married,House / apartment,Y,N,High skill tech staff
5009614,0,54,F,2,N,N,2,4,144000,Working,Secondary / secondary special,Married,House / apartment,Y,N,High skill tech staff
5009618,C,25,M,1,Y,N,0,2,225000,Pensioner,Secondary / secondary special,Married,House / apartment,Y,N,
5009620,C,53,M,2,Y,N,0,2,135000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Drivers
5009622,C,24,M,1,Y,N,0,2,135000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Drivers
5009631,C,35,F,0,N,N,0,2,112500,Working,Secondary / secondary special,Married,House / apartment,Y,N,Laborers
5009643,0,35,M,2,N,N,0,1,202500,Commercial associate,Secondary / secondary special,Single / not married,With parents,Y,N,
5009665,C,38,F,28,N,N,0,1,126000,Pensioner,Secondary / secondary special,Separated,House / apartment,Y,N,
5009671,0,35,F,2,N,N,0,2,135000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Y,N,Core staff
5009672,0,27,F,3,N,N,0,2,135000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Y,N,Core staff
5009675,C,31,F,1,N,N,0,1,90000,Pensioner,Secondary / secondary special,Widow,House / apartment,Y,N,
5009677,C,46,F,1,N,N,0,1,90000,Pensioner,Secondary / secondary special,Widow,House / apartment,Y,N,
5009683,C,59,F,0,N,N,0,1,90000,Pensioner,Secondary / secondary special,Widow,House / apartment,Y,N,
5009685,C,32,F,0,N,N,0,1,90000,Pensioner,Secondary / secondary special,Widow,House / apartment,Y,N,
5009687,C,58,F,0,N,N,0,1,90000,Pensioner,Secondary / secondary special,Widow,House / apartment,Y,N,
5009690,X,30,F,1,N,N,0,1,153000,Pensioner,Secondary / secondary special,Separated,House / apartment,Y,N,
5009691,X,26,F,8,N,N,0,1,153000,Pensioner,Secondary / secondary special,Separated,House / apartment,Y,N,
5009693,X,37,F,3,N,N,0,1,153000,Pensioner,Secondary / secondary special,Separated,House / apartment,Y,N,
5009695,0,33,M,2,Y,N,0,2,1350000,Commercial associate,Higher education,Married,Municipal apartment,Y,Y,Managers
5009702,0,25,F,7,N,N,0,2,139500,Pensioner,Secondary / secondary special,Married,House / apartment,Y,N,
5009703,C,58,F,6,N,N,0,2,139500,Pensioner,Secondary / secondary special,Married,House / apartment,Y,N,
5009705,C,42,F,1,N,N,0,2,139500,Pensioner,Secondary / secondary special,Married,House / apartment,Y,N,
5009706,0,32,F,1,N,N,0,2,157500,Working,Higher education,Married,House / apartment,Y,N,Managers
5009707,0,27,F,4,N,N,0,2,157500,Working,Higher education,Married,House / apartment,Y,N,Managers
5009711,X,57,F,1,Y,N,0,2,135000,Working,Secondary / secondary special,Civil marriage,With parents,Y,N,Sales staff
5009726,C,52,F,4,N,N,0,2,135000,Working,Higher education,Married,House / apartment,Y,N,Sales staff
5009727,C,31,F,0,N,N,0,2,135000,Working,Higher education,Married,House / apartment,Y,N,Sales staff
5009738,0,58,F,3,Y,N,0,2,99000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Core staff
5009741,0,38,F,0,Y,N,0,2,99000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Core staff
5009742,C,48,F,1,N,N,0,2,135000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Sales staff
5009744,5,38,F,0,Y,N,0,2,315000,Commercial associate,Higher education,Married,House / apartment,Y,N,
5009749,5,36,F,2,Y,N,0,2,315000,Commercial associate,Higher education,Married,House / apartment,Y,N,
5009750,0,45,F,1,Y,N,0,2,315000,Commercial associate,Higher education,Married,House / apartment,Y,N,
5009751,C,34,F,3,Y,N,0,2,315000,Commercial associate,Higher education,Married,House / apartment,Y,N,
5009752,C,40,F,0,Y,N,0,2,315000,Commercial associate,Higher education,Married,House / apartment,Y,N,
5009754,C,56,F,2,Y,N,0,2,315000,Commercial associate,Higher education,Married,House / apartment,Y,N,
5009757,C,47,M,2,Y,N,0,1,270000,Working,Higher education,Single / not married,House / apartment,Y,N,Laborers
5009797,0,28,F,2,N,N,0,1,198000,Pensioner,Secondary / secondary special,Widow,House / apartment,Y,N,
5009811,0,49,F,5,N,N,1,3,202500,Working,Secondary / secondary special,Married,House / apartment,Y,N,Sales staff
5009813,X,35,F,2,N,N,1,3,202500,Working,Secondary / secondary special,Married,House / apartment,Y,N,Sales staff
5009816,0,29,F,2,N,N,1,3,202500,Working,Secondary / secondary special,Married,House / apartment,Y,N,Sales staff
5009822,0,56,F,1,Y,N,0,2,99000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Cooking staff
5009829,X,64,F,3,N,N,0,2,112500,Working,Secondary / secondary special,Married,House / apartment,Y,N,Sales staff
5009831,C,29,M,0,Y,N,0,2,166500,Working,Higher education,Married,With parents,Y,N,Core staff
5009834,0,28,M,0,Y,N,0,2,166500,Working,Higher education,Married,With parents,Y,N,Core staff
5009836,C,49,M,2,Y,N,0,2,166500,Working,Higher education,Married,With parents,Y,N,Core staff
5009839,C,26,M,1,Y,N,0,2,202500,Working,Secondary / secondary special,Civil marriage,House / apartment,Y,N,Laborers
5009844,X,53,M,1,Y,N,0,2,180000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Security staff
5009857,C,27,M,50,Y,N,0,1,360000,Commercial associate,Secondary / secondary special,Separated,With parents,Y,N,Drivers
5009859,C,32,M,4,Y,N,0,1,360000,Commercial associate,Secondary / secondary special,Separated,With parents,Y,N,Drivers
5009865,X,38,M,1,Y,N,0,2,225000,Working,Higher education,Civil marriage,Rented apartment,Y,N,Managers
5009868,C,28,M,4,Y,N,0,2,225000,Working,Higher education,Civil marriage,Rented apartment,Y,N,Managers
5009872,C,41,M,0,Y,N,2,4,427500,Commercial associate,Higher education,Married,House / apartment,Y,N,Managers
5009874,X,50,M,1,Y,N,2,4,427500,Commercial associate,Higher education,Married,House / apartment,Y,N,Managers
5009877,X,29,F,4,N,Y,2,4,157500,State servant,Higher education,Married,House / apartment,Y,N,Core staff
5009883,0,35,F,2,N,Y,0,2,157500,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Y,N,
5009890,C,32,M,8,Y,Y,0,1,270000,Working,Secondary / secondary special,Single / not married,House / apartment,Y,Y,Managers
5009898,X,48,F,4,Y,Y,2,4,90000,State servant,Higher education,Married,House / apartment,Y,N,Core staff
5009900,C,40,M,2,Y,N,0,2,202500,Working,Secondary / secondary special,Married,House / apartment,Y,N,Drivers
5009903,C,25,M,5,Y,N,0,2,202500,Working,Secondary / secondary special,Married,House / apartment,Y,N,Drivers
5009906,C,59,M,3,Y,N,0,2,202500,Working,Secondary / secondary special,Married,House / apartment,Y,N,Drivers
5009907,C,32,M,1,Y,N,0,2,202500,Working,Secondary / secondary special,Married,House / apartment,Y,N,Drivers
5009908,1,36,M,1,Y,N,0,2,202500,Working,Secondary / secondary special,Married,House / apartment,Y,N,Drivers
5009909,C,45,M,2,Y,N,0,2,202500,Working,Secondary / secondary special,Married,House / apartment,Y,N,Drivers
5009911,C,42,M,0,Y,N,0,2,202500,Working,Secondary / secondary special,Married,House / apartment,Y,N,Drivers
5009915,C,37,F,0,N,Y,2,4,99000,Commercial associate,Higher education,Married,House / apartment,Y,N,Accountants
5009931,0,27,M,0,Y,Y,0,2,360000,Working,Higher education,Married,House / apartment,Y,N,Laborers
5009935,0,38,F,2,N,Y,2,4,157500,Working,Secondary / secondary special,Married,House / apartment,Y,N,Sales staff
5009945,C,88,F,12,Y,N,2,4,99000,Pensioner,Secondary / secondary special,Married,House / apartment,Y,Y,
5009947,C,43,F,1,Y,Y,2,4,90000,State servant,Secondary / secondary special,Married,House / apartment,Y,N,Cooking staff
5009949,0,32,F,1,Y,Y,2,4,90000,State servant,Secondary / secondary special,Married,House / apartment,Y,N,Cooking staff
5009951,X,56,M,4,N,Y,0,2,90000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Y,N,
5009954,C,35,M,3,Y,Y,0,2,112500,Working,Secondary / secondary special,Married,House / apartment,Y,N,
5009960,C,44,F,1,Y,Y,1,3,135000,Working,Secondary / secondary special,Married,House / apartment,Y,N,
5009961,0,50,F,2,Y,Y,1,3,135000,Working,Secondary / secondary special,Married,House / apartment,Y,N,
5009967,C,89,F,3,Y,Y,0,2,180000,State servant,Secondary / secondary special,Married,House / apartment,Y,N,Medicine staff
5009981,C,33,F,1,Y,Y,0,2,180000,State servant,Secondary / secondary special,Married,House / apartment,Y,N,Medicine staff
5009992,X,41,M,0,Y,N,2,4,157500,Working,Secondary / secondary special,Married,Office apartment,Y,Y,Drivers
5009993,X,38,F,1,N,Y,0,2,135000,Working,Incomplete higher,Married,House / apartment,Y,N,Managers
5010002,C,48,F,3,N,Y,2,4,157500,State servant,Secondary / secondary special,Married,House / apartment,Y,N,Core staff
5010006,0,40,M,1,Y,Y,0,2,157500,Pensioner,Secondary / secondary special,Married,House / apartment,Y,N,
5010021,C,33,F,1,N,N,0,1,99000,Commercial associate,Higher education,Single / not married,With parents,Y,Y,
5010026,C,42,F,1,N,Y,0,2,135000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Laborers
5010045,C,39,F,2,N,Y,0,2,67500,Working,Secondary / secondary special,Married,House / apartment,Y,N,Core staff
5010047,C,25,F,2,N,Y,0,2,67500,Working,Secondary / secondary special,Married,House / apartment,Y,N,Core staff
5010052,C,46,F,7,N,Y,0,2,90000,Working,Secondary / secondary special,Married,House / apartment,Y,Y,Cleaning staff
5010084,0,37,M,1,N,Y,0,2,135000,Working,Secondary / secondary special,Married,House / apartment,Y,Y,Security staff
5010094,0,30,F,1,N,N,0,2,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,Y,N,Laborers
5010101,C,31,F,0,Y,Y,2,4,306000,State servant,Higher education,Married,House / apartment,Y,N,Core staff
5010102,X,91,F,38,Y,Y,2,4,306000,State servant,Higher education,Married,House / apartment,Y,N,Core staff
5010104,0,51,F,0,N,Y,0,2,166500,Pensioner,Secondary / secondary special,Married,House / apartment,Y,N,
5010111,0,32,F,1,Y,Y,0,2,135000,Pensioner,Secondary / secondary special,Married,House / apartment,Y,N,
5010112,0,31,F,1,Y,Y,0,2,135000,Pensioner,Secondary / secondary special,Married,House / apartment,Y,N,
5010114,C,55,F,19,Y,Y,0,1,202500,Pensioner,Higher education,Widow,House / apartment,Y,Y,
5010117,C,37,F,1,N,Y,1,3,67500,State servant,Secondary / secondary special,Married,Municipal apartment,Y,N,Core staff
5010122,C,33,M,1,Y,Y,0,2,315000,Working,Secondary / secondary special,Married,House / apartment,Y,N,Managers
5010127,C,33,F,1,N,Y,2,4,270000,Working,Secondary / secondary special,Married,House / apartment,Y,Y,Managers
5010153,C,34,F,2,Y,Y,1,3,157500,Working,Secondary / secondary special,Married,House / apartment,Y,N,Managers
5010170,C,49,F,1,N,Y,0,2,135000,State servant,Secondary / secondary special,Married,House / apartment,Y,N,Medicine staff
5010174,0,34,M,3,N,Y,0,2,90000,Working,Secondary / secondary special,Married,House / apartment,Y,Y,Laborers
5010178,0,27,M,3,Y,Y,2,4,225000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Y,Y,
5010185,C,35,M,1,N,N,1,2,247500,Working,Secondary / secondary special,Single / not married,House / apartment,Y,N,Laborers
5010187,C,60,M,5,N,N,1,2,247500,Working,Secondary / secondary special,Single / not married,House / apartment,Y,N,Laborers
